Tema,Pergunta
Agropecuária,"01. (UEL) O Brasil é líder mundial no consumo de agrotóxicos, com 7,3 litros por ano para cada habitante, e o número de veneno no prato do brasileiro aumentou consideravelmente nos últimos três anos (de 2016 a 2018). O Brasil caminha para a liberação do aumento do número de novos registros de agrotóxicos e afins, ficando na contramão de países europeus e dos EUA.  
					Evolução do número de novos registros de agrotóxicos e afins no Brasil  

					


					Com base no gráfico e nos conhecimentos sobre a utilização dos agrotóxicos, considere as afirmativas a seguir.



					I. O aumento do número de novos registros de agrotóxicos e afins entre os anos de 2015 e 2018 foi de 363%, contribuindo qualitativamente com a segurança alimentar e a biodiversidade.
					II. Em função da aplicação dos agrotóxicos, há a contaminação das águas e dos horizontes do solo, afetando a biota, podendo até tornar o solo estéril.
					III. Algumas classes de pesticidas promovem a desorientação espacial e a morte das abelhas, prejudicando a polinização de determinadas lavouras e causando a queda na produção.
					IV. A opção por um modelo de desenvolvimento baseado em latifúndios monocultores voltados para a exportação, aliada a políticas de redução e isenção de impostos, incentiva o uso desses produtos.



					Assinale a alternativa correta.  
					
						 Somente as afirmativas I e II são corretas.


						Somente as afirmativas I e IV são corretas.


						Somente as afirmativas III e IV são corretas.


						Somente as afirmativas I, II e III são corretas.


						Somente as afirmativas II, III e IV são corretas."
Agropecuária,"02. (UEFS) Este tipo de agricultura foi introduzido pelos europeus em suas colônias tropicais a partir do século XVI. Com as transformações na agricultura, passou a ser um sistema intensivo de capitais, mas continua a ser um sistema latifundiário e monocultor de produtos tropicais, voltados para a exportação.  

					O texto se refere ao sistema agrícola  
					
						rotação de terras.


						agricultura familiar.


						plantation.


						rotação de culturas.


						agricultura de jardinagem."
Agropecuária,"03. (PUC-RS) Ampliando-se o público, ampliaram-se os jornais e as revistas em circulação. Fundaram-se associações artísticas e musicais em várias cidades. Aumentou a sociabilidade. Atenuou-se a disciplina rígida do patriarcalismo que segregava no lar a mulher de classe média e alta. A crescente diversificação ocupacional nos grandes centros urbanos tornou mais complexa a estrutura social.  

					(VIOTTI DA COSTA, Emília. Da monarquia à República. Momentos decisivos. São Paulo: Grijaldo, 1977).  

					 Considerando o texto acima, é correto afirmar que, no contexto do final do século XIX, na região sudeste do Brasil, a urbanização estava associada às mudanças econômicas e sociais de uma/do _________ para uma/a _________, baseada na mão de obra _________ 
					
						 economia agrícola de exportação do café – economia industrial – livre


						economia agrícola de subsistência – economia comercial da cana de açúcar e do algodão – escrava


						economia agrícola comercial diversificada – economia agrícola de exportação do café – escrava


						extrativismo mineral – agricultura de subsistência – livre imigrante"
Agropecuária,"04. (UERJ)  


					


					 Uma característica econômica comum aos quatro cultivos brasileiros nos quais os agrotóxicos são mais utilizados é a expressiva: 

					
						 relevância na pauta de exportação


						participação na absorção de mão de obra


						centralidade na alimentação da população


						influência na desconcentração da propriedade"
Agropecuária,"05. (UFRN) Desde as últimas décadas do século XX, o Brasil avança no processo de modernização no campo, o que levou alguns autores a identificar a configuração de um “novo rural”, representado especialmente pelo agronegócio, que  

					
						 designa toda uma cadeia de produção que tem como atividade básica a agropecuária com elevada produtividade da terra, resultante da aplicação de tecnologias avançadas e do forte investimento de capitais.


						prioriza basicamente a agropecuária e, assim, promove uma subordinação da cidade ao campo, em decorrência do elevado emprego de tecnologias avançadas e do forte investimento de capitais.


						designa toda uma cadeia de produção que se realiza efetivamente no campo, tendo a agropecuária como foco, e, sendo assim, apresenta baixa capacidade de articular as relações entre o rural e o urbano.


						prioriza basicamente a agropecuária e, assim, enfrenta dificuldades de expansão tendo em vista a intensificação dos processos de urbanização e de crescimento do setor terciário que ocorrem nas diferentes regiões do país."
Agropecuária,"06. (FATEC) O Brasil é um dos maiores exportadores de commodities do mundo.  

					Chamamos de commodities produtos de base  
					
						 primária, principalmente pesqueira e do setor têxtil.


						primária, principalmente agrícola e de extração mineral.


						secundária, principalmente industrial e eletroeletrônica.


						secundária, principalmente siderúrgica e metalúrgica.


						terciária, principalmente bancária e de produtos hospitalares."
Agropecuária,"07. (UECE) A economia do Ceará registrou retração de 5,32% no segundo trimestre de 2015, desempenho muito inferior ao registrado no segundo trimestre de 2014, com relação ao mesmo período de 2013, quando foi verificado um crescimento de 3,04%. No acumulado do ano, observa-se uma queda de 2,14%. Os números do Produto Interno Bruto (PIB) cearense, que é a soma de todos os bens e serviços produzidos no Estado e que serve para medir o comportamento da economia cearense foram divulgados nesta quinta-feira (10), pelo Instituto de Pesquisa e Estratégia Econômica do Estado (Ipece).  
					 Economia do Ceará tem retração de 5,32% no segundo trimestre, diz Ipece. http://g1.globo.com/ceara/noticia/2015/09/economia-doceara-tem-retracao-de-532-no-primeiro-trimestre-dizipece.html 

					Dentre as causa desse processo de recessão da economia cearense encontra-se  
					
						o aumento das importações de roupas e calçados, artigos tradicionalmente produzidos no Ceará.


						as dificuldades enfrentadas pelo setor pesqueiro que representa a principal indústria do Ceará.


						a retração de setores como agropecuária, indústria e serviços, acompanhando a tendência brasileira.


						a diminuição da arrecadação de impostos pelo governo estadual e pelos municípios."
Agropecuária,"08. (UEA) Principal grão do Brasil, foi introduzido no país em 1914. A partir da década de 1970, o setor registrou alto crescimento graças à migração de produtores do Sul, com o desenvolvimento de novas técnicas de cultivo e do uso de pesticidas. “Os preços aumentavam e os produtores do Sul não tinham terra suficiente para desenvolver. Muitos se instalaram no Cerrado, onde transformaram terras baratas, que eram inóspitas para o plantio da oleaginosa”, disse Amélio Dall’Agnol, da Embrapa.  
					(www.afp.com, 15.06.2019. Adaptado.)  

					O grão e a região brasileira que abrigou a sua primeira frente de expansão são  
					
						 a soja e o Sudeste.


						o milho e o Sudeste.


						o milho e o Centro-Oeste.


						a soja e o Centro-Oeste.


						a soja e o Norte."
Agropecuária,"09. (USP) É preocupante a detecção de resíduos de agrotóxicos no planalto mato-grossense [Planaltos e Chapada dos Parecis], onde nascem o rio Paraguai e parte de seus afluentes, cujos cursos dirigem-se para a Planície do Pantanal. Em termos ecológicos, o efeito crônico da contaminação, mesmo sob baixas concentrações, implica efeitos na saúde e no ambiente a médio e longo prazos, como a diminuição do potencial biológico de espécies animais e vegetais.  

					Dossiê Abrasco – Associação Brasileira de Saúde Coletiva, Rio de Janeiro/São Paulo: EPSJV/Expressão Popular, 2012. Adaptado.  

					Com base no texto e em seus conhecimentos, é correto afirmar:  
					
						No Mato Grosso do Sul, prevalece a criação de caprinos nas chapadas, ocasionando a contaminação dos lençóis freáticos por resíduos de agrotóxicos


						No Mato Grosso, ocorre grande utilização de agrotóxicos, em virtude, principalmente, da quantidade de soja, milho e algodão nele cultivada


						Em Goiás, com o avanço do cultivo da laranja transgênica voltada para exportação, aumentou a contaminação a montante do rio Cuiabá


						No Mato Grosso, estado em que há a maior área de silvicultura do país, há predominância da pulverização aérea de agrotóxicos sobre as florestas cultivadas


						No Mato Grosso do Sul, um dos maiores produtores de feijão, trigo e maçã do país, verificase significativa contaminação do solo por resíduos de agrotóxicos"
Agropecuária,"10. (UEMG) Sobre a Estrutura Fundiária Brasileira, assinale a alternativa correta.  

					
						As pequenas propriedades rurais são em maior número e ocupam mais da metade das terras do território brasileiro.


						A maior parte dos latifúndios está situada em áreas de expansão das fronteiras agrícolas, pecuárias e de exploração mineral.


						A média propriedade rural é numericamente predominante na Região Sul, nomeadamente nos Estados do Paraná e de Santa Catarina.


						A Sub-região do Nordeste, o Agreste, é caracterizada pela predominância quantitativa das médias e grandes propriedades rurais."
